Date,Multiple Dates,Company Type,Repeat Company [Leads],Repeat Company [Event],Event,Facilitator,Activity,Event Type,Half/Full,AM/PM,Num of Pax,Account Manager,Sales Manager,Num of Responses,Positive,Negative,Event Rating,Team Bonding,Facilitator Rating,Motivation,Values & Decision Making,Customer Service/Communication,Time Management/Productivity,Emotional Intelligence,Cultural Competency/Diversity,Building Rapport,Conflict Management,Leading Change,,,,,,,,,,
28-02-2019,,Transport,,No,UPS,Darrell,Wild Goats,Guided,Half,,15,Darrell ,P.V,12,,,9.25,9.4167,9.5,7,4,2,5,3,0,4,7,4,,,,,,,,,,
01-03-2019,,Oil and Gas,,Yes,Shell,Jedde ,Breaking Barriers,Professional,Full,FULL,20,Darrell ,Jasline,3,,,9.6667,9.6667,10,0,0,0,2,1,2,0,3,1,,,,,,,,,,
01-03-2019,,Medical,,No,Tan Tock Seng Hospital,Darrell,Treasure Hunt,Guided,Half,PM,20,Jedde,Patrik,1,,,10,10,10,1,1,0,0,0,0,0,0,1,,,,,,,,,,
02-03-2019,,Financial Service,,No,Vistra,James,Digital Treaure Hunt,Expert,Half,PM,26,Farhan/Darrell,Patrik,12,,,8.9091,9.1818,9.5455,3,3,3,1,3,2,7,3,6,,,,,,,,,,
05-03-2019,,Technology,,Yes,Cisco,Darrell & Faj,Running Man,Professional,Half,PM,38,Darrell ,Jasline,2,,,9.5,9.5,10,0,1,1,0,0,0,1,1,0,,,,,,,,,,
06-03-2019,,Data & Software,,Yes,SAP,Babara,Virus Challenge,Professional,Half,PM,14,Darrell,Daniel,1,,,10,9,8,1,0,0,0,0,0,1,0,1,,,,,,,,,,
07-03-2019,,Government,,Yes,EDB,Darrell ,Casino Heist,Professional,Half,AM,22,Farhan,Jasline,1,,,9,9,9,0,0,1,1,0,0,0,1,0,,,,,,,,,,
08-03-2019,,Research and Development,,Yes,MSD,Darrell ,Wild Goats,Guided,Half,PM,35, Jedde,Jasline,1,,,9,10,10,1,0,0,0,0,1,0,0,1,,,,,,,,,,
08-03-2019,,Energy,,Yes,SPX,James,Bridging The Gap,Professional,Half,PM,14,Farhan,P.V,5,,,9.6,9.8,9.8,2,1,0,3,5,0,1,2,3,,,,,,,,,,
08-03-2019,,Government,,No,SG Prison,Farhan,Wild Goats + Mindstretcher,Professional,Full,Full,20,Farhan,Patrik,2,,,7.5,8.5,9,0,1,0,1,1,0,0,2,1,,,,,,,,,,
14-03-2019,,Government,,No,AIC,Darrell  ,Wild Goats + Mindstretcher,Professional,Full,Full,25,Farhan,Patrik,1,,,8,8,10,0,0,0,0,0,0,1,1,1,,,,,,,,,,
15-03-2019,,Technology,,Yes,Sony,Jedde ,Casino Heist + Drone Challenge,Professional,Full,Full,32,Darrell,P.V,13,,,8.6154,9.0769,9.1538,8,4,2,3,5,2,6,5,5,,,,,,,,,,
15-03-2019,,Government,,No,NEA,James ,DISC + Collaborate!,Professional,Full,Full,12,Farhan,Daniel,2,,,10,10,10,1,2,0,0,0,2,0,0,2,,,,,,,,,,
20-03-2019,,Medical,,No,DSM,Darrell ,Wild Goats,Guided,Half,PM,20,Jedde,P.V,1,,,9,10,10,1,0,1,0,0,0,1,0,0,,,,,,,,,,
23-03-2019,,Lifestyle,,No,Givaudan,Darrell ,Treasure Hunt,Guided,Half,AM,14,Farhan,Jasline,,,,,,,,,,,,,,,,,,,,,,,,,
27-03-2019,,Financial Service,,Yes,AON,Darrell ,Graffiti Art,Professional,Half,PM,17,Jedde,Patrik,2,,,9,9,9,1,1,0,0,1,0,0,1,2,,,,,,,,,,
28-03-2019,,Oil and Gas,,No,Yinson,Jedde ,The Domino Challenge + Collaborate!,Professional,Full,Full,60,Farhan,Jasline,23,,,8.8696,8.9565,9.1304,13,6,2,9,11,3,9,9,9,,,,,,,,,,
29-03-2019,,Chemical ,,No,Pride Chem,James ,Running Man + F1 Challenge,Professional,Full,Full,45,Farhan,Patrik,19,,,8.6316,8.8421,8.9474,12,10,5,4,6,3,3,9,7,,,,,,,,,,
29-03-2019,,Transport,,No,Hafnia,Jedde ,Mindstretcher + Amazing Race,Professional,Full,Full,32,Darrell,Patrik,7,,,8.8571,9.2857,9.2857,5,1,1,2,3,1,2,3,2,,,,,,,,,,
29-03-2019,,Government,,Yes,EDB,Darrell & James,Belbin + Treasure Hunt,Professional,Half,AM,22,Faj,Jasline,3,,,6.6667,6.3333,7,0,1,0,1,2,1,2,1,1,,,,,,,,,,
02-04-2019,,Mining,,Yes,Rio Tinto,James & Ris,60 Seconds,Expert,Half,PM,80,Faj,P.V,13,,,9,8.6154,8.7692,6,3,4,5,7,3,4,0,3,,,,,,,,,,
03-04-2019,,Fashion,,No,Ralph Lauren,Jedde & Ris,Creative Putting Challenge + Bridging The Gap,Professional,Full,Full,70,Darrell,Patrik,13,,,9.5,9.3333,9.5,9,3,2,3,3,4,5,6,2,,,,,,,,,,
04-04-2019,,Bank,,Yes,DBS,Jedde & Ris,Drama Mama,Guided,Half,PM,100,Jedde,P.V,8,,,8.875,9.125,9,1,1,1,2,5,2,2,5,5,,,,,,,,,,
04-04-2019,,Food,,No,Friesland Campina,Darrell,Amazing Race,Professional,Half,AM,45,Darrell,Daniel,7,,,8.8571,9.1429,9.4286,1,0,0,1,5,2,1,3,6,,,,,,,,,,
04-04-2019,,Technology,,Yes,Dell,Farhan,Wild Goats,Professional,Half,AM,18,Farhan,Daniel,10,,,9.2,9,9.2,6,1,0,1,4,2,4,6,6,,,,,,,,,,
